BHK,Price,Location,Area,Furnishing,Tenant_Pref,Full_Title,Page_Found
3 BHK,"₹21,000 /month",Stellar Jeevan,"1,694 sqft(157 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,52
3 BHK,"₹30,000 /month",Gaur Saundaryam,"1,650 sqft(153 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",52
4 BHK,"₹42,500 /month",Sportshome by Dev Sai Group,"1,985 sqft(184 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,52
3 BHK,"₹36,000 /month",Purvanchal Royal City,"1,825 sqft(170 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector Chi 5, Greater Noida",52
3 BHK,"₹32,000 /month",Gaur City 2 11th Avenue,"1,385 sqft(129 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",52
3 BHK,"₹40,000 /month",ATS Nobility,"1,675 sqft(156 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector-4 Greater Noida West, Greater Noida",52
3 BHK,"₹36,500 /month",Gaur Saundaryam,"2,005 sqft(186 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",52
3 BHK,"₹17,000 /month",SDS NRI Residency,"1,359 sqft(126 sqm)",N/A,Not Specified,"3 BHK Flat for rent in NRI City, Greater Noida",52
N/A,"₹17,100 /month",Paramount Golfmart,430 sqft(40 sqm),Fully Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector ZETA 1, Greater Noida",52
2 BHK,"₹28,999 /month",ACE Divino,"1,245 sqft(116 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,52
3 BHK,"₹27,000 /month",Amrapali Golf Homes,"1,380 sqft(128 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",52
2 BHK,"₹17,000 /month",Panchsheel Greens 2,915 sqft(85 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",52
2 BHK,"₹18,000 /month",Exotica Dreamville,920 sqft(85 sqm),N/A,Not Specified,2 BHK Flat for rent in Noida Extension,52
3 BHK,"₹25,000 /month",Paramount Emotions,"1,380 sqft(128 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,52
3 BHK,"₹38,000 /month",Ajnara Homes,"1,385 sqft(129 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",52
2 BHK,"₹24,599 /month",ACE Divino,"1,050 sqft(98 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,52
2 BHK,"₹18,000 /month",Amrapali Golf Homes,"1,175 sqft(109 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",52
2 BHK,"₹18,500 /month",Nirala Aspire,"1,180 sqft(110 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",52
2 BHK,"₹24,000 /month",Eros Sampoornam,"1,060 sqft(98 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 2, Greater Noida West",52
3 BHK,"₹33,999 /month",Gaur Saundaryam,"1,650 sqft(153 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",52
2 BHK,"₹18,500 /month",Amrapali Golf Homes,945 sqft(88 sqm),Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",52
3 BHK,"₹33,000 /month",Purvanchal Royal City,"1,970 sqft(183 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector Chi 5, Greater Noida",52
3 BHK,"₹25,000 /month",Supertech Ecovillage 2,"1,475 sqft(137 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",52
2 BHK,"₹18,000 /month",Amrapali Golf Homes,"1,100 sqft(102 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",53
N/A,"₹16,000 /month",Gaur Yamuna City,839 sqft(78 sqm),N/A,Not Specified,"2 Bedroom House for rent in Yamuna Expressway, Greater Noida",53
2 BHK,"₹21,001 /month",RG Luxury Homes,"1,342 sqft(125 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",53
N/A,"₹75,000 /month",Godrej Golf Links The Suites,"2,835 sqft(263 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",53
3 BHK,"₹20,000 /month",La Residentia,"1,545 sqft(144 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",53
4 BHK,"₹60,000 /month",Godrej Golf Link Park Lane,"1,577 sqft(147 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Sector 27, Greater Noida",53
3 BHK,"₹29,000 /month",Nirala Estate Phase 2,"1,535 sqft(143 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",53
3 BHK,"₹23,000 /month",Eros Sampoornam,"1,350 sqft(125 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 2, Greater Noida West",53
3 BHK,"₹44,000 /month",ATS Nobility,"1,675 sqft(156 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector-4 Greater Noida West, Greater Noida",53
N/A,"₹65,000 /month",Godrej Golf Links Crest,"2,359 sqft(219 sqm)",Semi-Furnished,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",53
3 BHK,"₹22,000 /month",Amrapali Golf Homes,"1,425 sqft(132 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",53
2 BHK,"₹14,500 /month",Amrapali Golf Homes,930 sqft(86 sqm),N/A,Bachelors Allowed,"2 BHK Flat for rent in Sector 4, Greater Noida West",53
3 BHK,"₹26,000 /month",Coco County,"1,152 sqft(107 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",53
3 BHK,"₹21,000 /month",Amrapali Centurian Park,"1,400 sqft(130 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",53
2 BHK,"₹25,000 /month",Eros Sampoornam 2,"1,060 sqft(98 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 2, Greater Noida West",53
2 BHK,"₹18,000 /month",Amrapali Golf Homes,930 sqft(86 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",53
3 BHK,"₹26,500 /month",Stellar Jeevan,"1,694 sqft(157 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,53
2 BHK,"₹23,500 /month",Panchsheel Greens 2,"1,105 sqft(103 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",53
3 BHK,"₹27,000 /month",Shri Radha Sky Gardens,"2,619 sqft(243 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",53
3 BHK,"₹20,000 /month",Patel Neotown,"1,560 sqft(145 sqm)",Unfurnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",53
3 BHK,"₹21,500 /month",Gaur City 6th Avenue,"1,470 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",53
2 BHK,"₹20,005 /month",RG Luxury Homes,"1,229 sqft(114 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",53
3 BHK,"₹22,000 /month",La Residentia,"1,395 sqft(130 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",53
3 BHK,"₹22,000 /month",La Residentia,"1,545 sqft(144 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",53
3 BHK,"₹22,700 /month",Town Park White Orchid,"1,293 sqft(120 sqm)",Semi-Furnished,Not Specified,3 BHK Flat for rent in Noida Extension,53
3 BHK,"₹18,400 /month",Amrapali Golf Homes,"1,095 sqft(102 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",54
3 BHK,"₹22,500 /month",Amrapali Golf Homes,"1,115 sqft(104 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",54
2 BHK,"₹25,500 /month",Amaatra Homes,"1,180 sqft(110 sqm)",Fully Furnished,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",54
3 BHK,"₹25,000 /month",Amrapali Golf Homes,"1,595 sqft(148 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",54
3 BHK,"₹35,000 /month",Gaur Saundaryam,"1,570 sqft(146 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",54
3 BHK,"₹20,000 /month",Amrapali Golf Homes,"1,115 sqft(104 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",54
3 BHK,"₹21,000 /month",Amrapali Golf Homes,"1,095 sqft(102 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",54
3 BHK,"₹42,100 /month",ABA Cherry County,"1,620 sqft(151 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",54
3 BHK,"₹23,500 /month",Amaatra Homes,"1,405 sqft(131 sqm)",Semi-Furnished,Family Preferred,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",54
2 BHK,"₹20,500 /month",Amaatra Homes,"1,180 sqft(110 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",54
2 BHK,"₹20,000 /month",Patel Neotown,"1,020 sqft(95 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",54
3 BHK,"₹24,000 /month",Patel Neotown,"1,600 sqft(149 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",54
3 BHK,"₹21,000 /month",Patel Neotown,"1,520 sqft(141 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",54
3 BHK,"₹35,000 /month",ATS Dolce,"1,800 sqft(167 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector ZETA 1, Greater Noida",54
3 BHK,"₹20,000 /month",Amrapali Golf Homes,"1,115 sqft(104 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",54
2 BHK,"₹17,000 /month",Amrapali Golf Homes,945 sqft(88 sqm),Semi-Furnished,Family Preferred,"2 BHK Flat for rent in Sector 4, Greater Noida West",54
3 BHK,"₹32,000 /month",Gulshan Bellina,"1,495 sqft(139 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",54
3 BHK,"₹26,000 /month",Eros Sampoornam,"1,800 sqft(167 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 2, Greater Noida West",54
3 BHK,"₹21,100 /month",Gaur City 1st Avenue,"1,360 sqft(126 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",54
3 BHK,"₹20,500 /month",Amrapali Dream Valley High Life 2,"1,045 sqft(97 sqm)",N/A,Bachelors Allowed,3 BHK Flat for rent in Noida Extension,54
2 BHK,"₹27,100 /month",ACE Divino,"1,245 sqft(116 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,54
3 BHK,"₹23,500 /month",Galaxy Royale,"1,345 sqft(125 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",54
2 BHK,"₹18,000 /month",Gaur City 2 14th Avenue,855 sqft(79 sqm),N/A,Family Preferred,"2 BHK Flat for rent in Sector 16C, Greater Noida",54
2 BHK,"₹17,150 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",54
3 BHK,"₹27,000 /month",ABA Cherry County,"1,521 sqft(141 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",54
3 BHK,"₹28,000 /month",Mahagun Mywoods Phase 1,"1,545 sqft(144 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",55
3 BHK,"₹24,000 /month",Patel Neotown,"1,560 sqft(145 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",55
2 BHK,"₹18,000 /month",Patel Neotown,970 sqft(90 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",55
3 BHK,"₹22,000 /month",Patel Neotown,"1,435 sqft(133 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",55
3 BHK,"₹24,000 /month",Patel Neotown,"1,735 sqft(161 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",55
2 BHK,"₹20,000 /month",Patel Neotown,"1,195 sqft(111 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",55
3 BHK,"₹23,000 /month",Solitaire VVIP Homes,"1,490 sqft(138 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",55
3 BHK,"₹24,000 /month",NCR Monarch and Crown,"1,650 sqft(153 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,55
2 BHK,"₹18,500 /month",Amaatra Homes,965 sqft(90 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",55
2 BHK,"₹18,400 /month",Supertech Ecovillage 2,890 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",55
3 BHK,"₹25,000 /month",Fusion Homes Techzone 4 Greater Noida West,"1,805 sqft(168 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",55
2 BHK,"₹18,750 /month",Supertech Ecovillage 2,890 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",55
3 BHK,"₹24,000 /month",Trident Embassy,"1,309 sqft(122 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,55
3 BHK,"₹22,000 /month",Gaur 16th Avenue,"1,600 sqft(149 sqm)",N/A,Family Preferred,3 BHK Flat for rent in Noida Extension,55
2 BHK,"₹17,000 /month",Amrapali Golf Homes,825 sqft(77 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",55
2 BHK,"₹18,200 /month",Amrapali Golf Homes,835 sqft(78 sqm),Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",55
3 BHK,"₹32,000 /month",HomeKraft Happy Trails,"1,625 sqft(151 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",55
N/A,"₹75,000 /month",Godrej Golf Links Crest,125 sqft(12 sqm),N/A,Not Specified,"3 Bedroom House for rent in Sector 27, Greater Noida",55
2 BHK,"₹20,000 /month",Nirala Greenshire,"1,060 sqft(98 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 2, Greater Noida West",55
2 BHK,"₹20,000 /month",Rajhans Residency,"1,005 sqft(93 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,55
2 BHK,"₹20,500 /month",Amaatra Homes,"1,179 sqft(110 sqm)",N/A,Family Preferred,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",55
4 BHK,"₹34,500 /month",ABA Cherry County,"2,232 sqft(207 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",55
2 BHK,"₹18,000 /month",Apex Splendour,"1,153 sqft(107 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",55
3 BHK,"₹41,000 /month",Nirala Aspire,"1,794 sqft(167 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",55
3 BHK,"₹29,000 /month",Gaur Saundaryam,"1,595 sqft(148 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",55
2 BHK,"₹20,000 /month",Nirala Greenshire,950 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 2, Greater Noida West",56
3 BHK,"₹17,500 /month",Gaur City 2 14th Avenue,"1,175 sqft(109 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",56
3 BHK,"₹28,000 /month",Exotica Dreamville,"1,705 sqft(158 sqm)",Furnished,Not Specified,3 BHK Flat for rent in Noida Extension,56
1 BHK,"₹19,900 /month",Supertech Eco Village 1,598 sqft(56 sqm),Furnished,Not Specified,"1 BHK Flat for rent in Greater Noida West, Greater Noida",56
3 BHK,"₹23,000 /month",Gaur 16th Avenue,"1,385 sqft(129 sqm)",N/A,Not Specified,3 BHK Flat for rent in Noida Extension,56
2 BHK,"₹19,000 /month",Amrapali Dream Valley Villas,920 sqft(85 sqm),N/A,Not Specified,"2 BHK Flat for rent in Greater Noida West, Greater Noida",56
2 BHK,"₹22,500 /month",Mahagun Mantraa 2,"1,125 sqft(105 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",56
1 BHK,"₹20,000 /month",Eldeco Mystic Greens,500 sqft(46 sqm),Fully Furnished,Not Specified,"1 BHK Flat for rent in Sector Omicron 1, Greater Noida",56
2 BHK,"₹18,500 /month",Exotica Dreamville,"1,035 sqft(96 sqm)",N/A,Not Specified,2 BHK Flat for rent in Noida Extension,56
2 BHK,"₹24,000 /month",CRC Sublimis,"1,170 sqft(109 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,56
3 BHK,"₹20,000 /month",Amrapali Centurian Park Terrace Homes,"1,400 sqft(130 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",56
4 BHK,"₹30,000 /month",royal green apartment,"2,800 sqft(260 sqm)",N/A,Family Preferred,"4 BHK Serviced Apartment for rent in Block D Phi III, Greater Noida",56
2 BHK,"₹17,000 /month",Amrapali Golf Homes,"1,175 sqft(109 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",56
2 BHK,"₹20,000 /month",SRPL Flora Heritage,987 sqft(92 sqm),N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,56
3 BHK,"₹21,000 /month",AFOWO Raksha Addela,"1,340 sqft(124 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",56
2 BHK,"₹26,000 /month",Exotica Dreamville,"1,235 sqft(115 sqm)",Furnished,Not Specified,2 BHK Flat for rent in Noida Extension,56
N/A,₹2.1 Lac /month,"Jaypee Greens, Greater Noida","5,400 sqft(502 sqm)",Semi-Furnished,Not Specified,"6 Bedroom House for rent in Jaypee Greens, Greater Noida",56
2 BHK,"₹50,000 /month",Jaypee Greens Star Court,"1,550 sqft(144 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Jaypee Greens, Greater Noida",56
3 BHK,"₹32,000 /month",Coco County,"1,152 sqft(107 sqm)",Fully Furnished,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",56
3 BHK,"₹31,000 /month",Coco County,800 sqft(74 sqm),Furnished,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",56
2 BHK,"₹17,500 /month",Sanskriti Vihar 10th Avenue,845 sqft(79 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",56
2 BHK,"₹23,000 /month",Panchsheel Greens 2,"1,105 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",56
2 BHK,"₹16,500 /month",Amrapali Centurian Park Terrace Homes,990 sqft(92 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",56
3 BHK,"₹26,000 /month",Hawelia Valenova Park,"1,470 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",56
3 BHK,"₹26,000 /month",Nirala Greenshire,"1,370 sqft(127 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 2, Greater Noida West",57
4 BHK,"₹45,200 /month",ACE Divino,"1,875 sqft(174 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,57
2 BHK,"₹16,000 /month",Victoryone Amara,"1,050 sqft(98 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",57
N/A,"₹72,000 /month","Sector 27, Greater Noida",900 sqft(84 sqm),Semi-Furnished,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",57
N/A,"₹18,000 /month",Paramount Golfmart,435 sqft(40 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector ZETA 1, Greater Noida",57
N/A,"₹22,000 /month",Omicron 1A,250 sqft(23 sqm),Semi-Furnished,Not Specified,"2 Bedroom House for rent in Sector Omicron 1A, Greater Noida",57
2 BHK,"₹30,000 /month",Casagrand 2,"1,325 sqft(123 sqm)",N/A,Family Preferred,"2 BHK Flat for rent in Sector Chi 5, Greater Noida",57
3 BHK,"₹27,000 /month",Arihant Arden,"1,375 sqft(128 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,57
2 BHK,"₹18,000 /month",Ajnara Le Garden,"1,095 sqft(102 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",57
2 BHK,"₹19,000 /month",Supertech Eco Village 1,"1,106 sqft(103 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Greater Noida West, Greater Noida",57
2 BHK,"₹24,000 /month",Amrapali Golf Homes,945 sqft(88 sqm),Fully Furnished,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",57
3 BHK,"₹25,000 /month",Supertech Eco Village 1,"1,718 sqft(160 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Greater Noida West, Greater Noida",57
2 BHK,"₹17,500 /month",Mahagun Mywoods Phase 2,960 sqft(89 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",57
2 BHK,"₹14,000 /month",Gaur Yamuna City 16th Park View,"1,075 sqft(100 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Yamuna Expressway, Greater Noida",57
3 BHK,"₹23,500 /month",Gaur City 6th Avenue,"1,470 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",57
3 BHK,"₹26,000 /month",RG Luxury Homes,"1,565 sqft(145 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",57
3 BHK,"₹34,485 /month",ACE Divino,"1,565 sqft(145 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,57
3 BHK,"₹40,000 /month",ATS Nobility,"1,675 sqft(156 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector-4 Greater Noida West, Greater Noida",57
3 BHK,"₹28,000 /month",Gaur City 7th Avenue,"1,350 sqft(125 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",57
2 BHK,"₹23,000 /month",ACE Divino,"1,050 sqft(98 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,57
2 BHK,"₹17,500 /month",Panchsheel Greens 2,"1,105 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",57
3 BHK,"₹27,000 /month",Hawelia Valencia Homes,"1,400 sqft(130 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,57
2 BHK,"₹18,050 /month",Amrapali Dream Valley Villas,905 sqft(84 sqm),N/A,Not Specified,"2 BHK Flat for rent in Greater Noida West, Greater Noida",57
3 BHK,"₹37,000 /month",Purvanchal Royal City,"1,725 sqft(160 sqm)",Fully Furnished,Not Specified,"3 BHK Flat for rent in Sector Chi 5, Greater Noida",57
3 BHK,"₹30,000 /month",Royal Nest,"1,550 sqft(144 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",57
2 BHK,"₹19,000 /month",Ajnara Homes,"1,085 sqft(101 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",58
2 BHK,"₹25,000 /month",SKA Metro Ville,"1,165 sqft(108 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Eta 2, Greater Noida",58
2 BHK,"₹27,000 /month",Panchsheel Hynish,"1,198 sqft(111 sqm)",Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,58
2 BHK,"₹22,000 /month",Coco County,"1,052 sqft(98 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",58
2 BHK,"₹20,500 /month",Panchsheel Greens 2,"1,105 sqft(103 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",58
3 BHK,"₹23,000 /month",Supertech Eco Village 1,"1,545 sqft(144 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Greater Noida West, Greater Noida",58
2 BHK,"₹19,000 /month",Trident Embassy,990 sqft(92 sqm),N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,58
2 BHK,"₹20,000 /month",Gaur City 2 14th Avenue,955 sqft(89 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",58
3 BHK,"₹25,500 /month",Nirala Estate Phase 2,"1,250 sqft(116 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",58
2 BHK,"₹18,000 /month",Divyansh Flora,"1,055 sqft(98 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",58
2 BHK,"₹25,000 /month",Sam Palm Olympia,"1,145 sqft(106 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",58
3 BHK,"₹32,000 /month",NBCC Leisure Park,"1,145 sqft(106 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",58
2 BHK,"₹18,500 /month",Supertech Eco Village 1,890 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Greater Noida West, Greater Noida",58
3 BHK,"₹20,000 /month",Amrapali Golf Homes,"1,095 sqft(102 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",58
2 BHK,"₹26,000 /month",Amaatra Homes,900 sqft(84 sqm),Fully Furnished,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",58
2 BHK,"₹16,000 /month",Eros Sampoornam,855 sqft(79 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 2, Greater Noida West",58
2 BHK,"₹24,000 /month",HomeKraft Happy Trails,"1,165 sqft(108 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",58
2 BHK,"₹15,500 /month",Supertech Ecovillage 3,935 sqft(87 sqm),N/A,Not Specified,2 BHK Flat for rent in Noida Extension,58
3 BHK,"₹26,000 /month",SKA Greenarch,"1,220 sqft(113 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",58
